date,regime,confidence,growth_score,inflation_score
2007-05-27,TRANSITIONING,,73.3590074387794,
2007-05-28,TRANSITIONING,,73.33238203957383,
2007-05-29,TRANSITIONING,,72.8155094006916,
2007-05-30,TRANSITIONING,,72.73166675295093,
2007-05-31,TRANSITIONING,,72.7466116734827,
2007-06-01,TRANSITIONING,,70.27716364323507,
2007-06-02,TRANSITIONING,,68.99899047420718,
2007-06-03,TRANSITIONING,,68.97747988084122,
2007-06-04,TRANSITIONING,,68.80218630631323,
2007-06-05,TRANSITIONING,,70.66725908977934,
2007-06-06,TRANSITIONING,,69.75033917413487,
2007-06-07,TRANSITIONING,,72.34376588778395,
2007-06-08,TRANSITIONING,,72.39470453735561,
2007-06-09,TRANSITIONING,,72.3695148800486,
2007-06-10,TRANSITIONING,,72.34438182600913,
2007-06-11,TRANSITIONING,,73.1404662333518,
2007-06-12,TRANSITIONING,,74.13491327358442,
2007-06-13,TRANSITIONING,,74.23774340145063,
2007-06-14,TRANSITIONING,,74.97677466577414,
2007-06-15,TRANSITIONING,,73.66903696601685,
2007-06-16,TRANSITIONING,,70.65116703931375,
2007-06-17,TRANSITIONING,,70.62814024551915,
2007-06-18,TRANSITIONING,,70.94425801987343,
2007-06-19,TRANSITIONING,,70.67503918172069,
2007-06-20,TRANSITIONING,,72.64409071286919,
2007-06-21,TRANSITIONING,,71.69024800854069,
2007-06-22,TRANSITIONING,,72.23130834899412,
2007-06-23,TRANSITIONING,,75.23949973510194,
2007-06-24,TRANSITIONING,,75.21157732869155,
2007-06-25,TRANSITIONING,,75.96266206281297,
2007-06-26,TRANSITIONING,,74.22958227495985,
2007-06-27,TRANSITIONING,,75.13277853954547,
2007-06-28,TRANSITIONING,,74.33424038839019,
2007-06-29,TRANSITIONING,,74.94531716448016,
2007-06-30,TRANSITIONING,,73.44516174998401,
2007-07-01,TRANSITIONING,,71.65407107512371,
2007-07-02,TRANSITIONING,,70.87016762790108,
2007-07-03,TRANSITIONING,,71.30691597246215,
2007-07-04,TRANSITIONING,,71.2835983776138,
2007-07-05,TRANSITIONING,,73.04187807962187,
2007-07-06,TRANSITIONING,,73.22345475962044,
2007-07-07,TRANSITIONING,,70.91053941388945,
2007-07-08,TRANSITIONING,,69.1819652879218,
2007-07-09,TRANSITIONING,,69.23828880335218,
2007-07-10,TRANSITIONING,,65.89561248489586,
2007-07-11,TRANSITIONING,,68.05036707173548,
2007-07-12,TRANSITIONING,,69.125398564873,
2007-07-13,TRANSITIONING,,68.75052953226044,
2007-07-14,TRANSITIONING,,71.06198922506391,
2007-07-15,TRANSITIONING,,71.0376480285459,
2007-07-16,TRANSITIONING,,70.93401443565487,
2007-07-17,TRANSITIONING,,70.55360653105012,
2007-07-18,TRANSITIONING,,71.02919058725033,
2007-07-19,TRANSITIONING,,70.7977718496949,
2007-07-20,TRANSITIONING,,68.4361825562266,
2007-07-21,TRANSITIONING,,71.35720705134733,
2007-07-22,TRANSITIONING,,71.33342324742641,
2007-07-23,TRANSITIONING,,71.37773882727743,
2007-07-24,TRANSITIONING,,66.67155884851722,
2007-07-25,TRANSITIONING,,67.283167087833,
2007-07-26,TRANSITIONING,,56.64728661606473,
2007-07-27,TRANSITIONING,,53.97888775244581,
2007-07-28,TRANSITIONING,,56.21297395511442,
2007-07-29,TRANSITIONING,,56.20825839427239,
2007-07-30,TRANSITIONING,,56.73719628219419,
2007-07-31,TRANSITIONING,,56.885667245986376,
2007-08-01,TRANSITIONING,,57.48891908889611,
2007-08-02,TRANSITIONING,,58.701104318740725,
2007-08-03,TRANSITIONING,,56.468971919705396,
2007-08-04,TRANSITIONING,,52.332810232551594,
2007-08-05,TRANSITIONING,,52.33244537705808,
2007-08-06,TRANSITIONING,,52.36615875545644,
2007-08-07,TRANSITIONING,,55.07727508251875,
2007-08-08,TRANSITIONING,,53.34345703189524,
2007-08-09,TRANSITIONING,,52.005379793002135,
2007-08-10,TRANSITIONING,,52.746462593134424,
2007-08-11,TRANSITIONING,,51.94983648750201,
2007-08-12,TRANSITIONING,,51.94977315653172,
2007-08-13,TRANSITIONING,,51.76590794494026,
2007-08-14,TRANSITIONING,,50.9051330211494,
2007-08-15,TRANSITIONING,,50.8732586690264,
2007-08-16,TRANSITIONING,,50.64522994651276,
2007-08-17,TRANSITIONING,,51.04650477648813,
2007-08-18,TRANSITIONING,,48.31299137482668,
2007-08-19,TRANSITIONING,,48.31669072358658,
2007-08-20,TRANSITIONING,,48.547118399760485,
2007-08-21,TRANSITIONING,,48.695571110733205,
2007-08-22,TRANSITIONING,,49.224497382796145,
2007-08-23,TRANSITIONING,,49.33798310107895,
2007-08-24,TRANSITIONING,,49.562845677570195,
2007-08-25,TRANSITIONING,,46.66905323992927,
2007-08-26,TRANSITIONING,,46.67379784767523,
2007-08-27,TRANSITIONING,,46.03456985580931,
2007-08-28,TRANSITIONING,,45.303560336133444,
2007-08-29,TRANSITIONING,,46.512539331924074,
2007-08-30,TRANSITIONING,,46.33030399789602,
2007-08-31,TRANSITIONING,,46.90046788676552,
2007-09-01,TRANSITIONING,,52.483435420890075,
2007-09-02,TRANSITIONING,,52.482297024008965,
2007-09-03,TRANSITIONING,,52.481156864821784,
2007-09-04,TRANSITIONING,,52.67851427088591,
2007-09-05,TRANSITIONING,,52.119831066631484,
2007-09-06,TRANSITIONING,,51.88913037341649,
2007-09-07,TRANSITIONING,,50.97807162338269,
2007-09-08,TRANSITIONING,,47.351530540410565,
2007-09-09,TRANSITIONING,,47.355927935575885,
2007-09-10,TRANSITIONING,,47.04944097482302,
2007-09-11,TRANSITIONING,,47.644170104282175,
2007-09-12,TRANSITIONING,,48.06320163771335,
2007-09-13,TRANSITIONING,,48.18588971893776,
2007-09-14,TRANSITIONING,,48.161002888760365,
2007-09-15,TRANSITIONING,,52.3560734924601,
2007-09-16,TRANSITIONING,,52.35492538832254,
2007-09-17,TRANSITIONING,,52.073327972869976,
2007-09-18,TRANSITIONING,,54.88237594429418,
2007-09-19,TRANSITIONING,,56.24588753265535,
2007-09-20,TRANSITIONING,,55.56176205374446,
2007-09-21,TRANSITIONING,,55.83701334350187,
2007-09-22,TRANSITIONING,,59.876785218137854,
2007-09-23,TRANSITIONING,,59.86727927841146,
2007-09-24,TRANSITIONING,,59.98080036321666,
2007-09-25,TRANSITIONING,,59.84161820240894,
2007-09-26,TRANSITIONING,,60.43384379665994,
2007-09-27,TRANSITIONING,,61.230654304389375,
2007-09-28,TRANSITIONING,,60.28796415032371,
2007-09-29,TRANSITIONING,,54.33988561913107,
2007-09-30,TRANSITIONING,,54.33587017834276,
2007-10-01,TRANSITIONING,,56.34727664351087,
2007-10-02,TRANSITIONING,,56.77082276799127,
2007-10-03,TRANSITIONING,,56.38524645135681,
2007-10-04,TRANSITIONING,,56.14329424668452,
2007-10-05,TRANSITIONING,,57.81402655678472,
2007-10-06,TRANSITIONING,,58.26799751016095,
2007-10-07,TRANSITIONING,,58.25902549223947,
2007-10-08,TRANSITIONING,,57.2384371267961,
2007-10-09,TRANSITIONING,,58.008885567431,
2007-10-10,TRANSITIONING,,57.98013752859735,
2007-10-11,TRANSITIONING,,57.18351043233986,
2007-10-12,TRANSITIONING,,58.07449868318142,
2007-10-13,TRANSITIONING,,51.0611766396103,
2007-10-14,TRANSITIONING,,51.059354588268235,
